#Sat Sep 25 01:27:26 2021
# copy the contents of this file into (location TBD) to update CODA thresholds for detector bb.gem
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms (for average over time samples)
APV               20              11               7               0
              32          -1.237           7.946
              33          0.4325           7.744
              34          0.4398            6.44
              35          0.1211           7.497
              36          -1.109           8.159
              37          -1.045           6.631
              38          0.8091           7.136
              39            0.37           7.669
              40          -1.814           8.284
              41         -0.9934           6.108
              42         -0.5617           7.641
              43           0.243           8.022
              44           0.837           8.304
              45         -0.6138           6.806
              46           1.156           6.902
              47          0.4905           8.425
              48          -0.464           7.478
              49          -1.986            7.79
              50           1.562            8.28
              51          0.5602           5.917
              52          -1.401           7.795
              53         -0.9229           6.635
              54           1.189           6.412
              55           1.248            5.85
              56          0.1278           7.326
              57         -0.8267           6.686
              58           1.121           6.174
              59           1.365            6.93
              60          0.2166           6.931
              61          0.1476           7.092
              62          0.9993           5.673
              63          0.6799           8.247
              64            -1.2             7.9
              65         -0.9295           7.925
              66          0.5653           7.684
              67          0.6968            7.27
              68         0.01028            7.17
              69         -0.6358            7.12
              70           1.383           7.492
              71           1.262           7.074
              72         -0.1865            8.33
              73         -0.9001           5.865
              74          0.1285            6.65
              75           0.616           7.391
              76        -0.07122           7.972
              77          0.8495           6.083
              78            0.29           6.526
              79           1.033           8.494
              80          0.4956           7.869
              81         -0.4266            6.61
              82           1.622           7.339
              83           1.236           5.908
              84         -0.2188           7.981
              85         0.01542           6.249
              86           1.065           6.117
              87           1.111           5.987
              88         -0.6145            7.25
              89        -0.04185           6.512
              90          0.3847           5.905
              91           1.294           6.784
              92          -1.473           7.254
              93          -0.649           7.597
              94           1.513           5.543
              95          0.9464           8.108
              96          -1.064           7.823
              97          -0.583           7.076
              98         -0.3774           7.892
              99         -0.3385           7.779
             100          -1.552           7.823
             101          -2.141           6.403
             102          0.2327           7.153
             103          0.6307           7.308
             104          -1.247           8.405
             105          -1.048           6.676
             106          0.4919           6.874
             107          0.8869           8.086
             108          -1.123           7.963
             109          0.4706           6.623
             110           1.001           7.042
             111          0.7093           9.489
             112         -0.6549           7.533
             113          -1.523           7.348
             114          0.8656           6.832
             115          0.6153           5.756
             116           -1.68           7.697
             117          -1.524           5.921
             118           1.211           5.811
             119          0.8524           6.001
             120         -0.6263           7.604
             121         -0.6241           6.216
             122          0.7504           5.716
             123          0.7452           7.098
             124          -1.272           6.978
             125          0.5081           7.814
             126          0.3157           6.216
             127          0.1138           9.565
APV               20              11               7               6
               0          -1.382            40.8
               1           1.581           35.46
               2          0.1285           33.48
               3           -3.56           33.29
               4          -1.999           11.12
               5          -1.619           8.017
               6          -3.067           9.237
               7          -1.413           7.841
               8          -0.652           6.507
               9              -1           6.732
              10         -0.6079           6.947
              11          0.6652           7.651
              12         -0.2342           7.266
              13          0.3583            6.03
              14         0.02423           6.945
              15          0.2313           7.555
              16         -0.1637           6.275
              17         0.05727           6.161
              18          0.3568           8.456
              19          0.2687           6.315
              20         -0.3825           6.433
